step	total_gs	compute_gs	write_gs
444	1.43991e+06	964768	3.526
445	1.44542e+06	968072	3.527
446	1.45202e+06	972472	3.528
447	1.45862e+06	976872	3.529
448	1.46522e+06	981272	3.529
449	1.47182e+06	985672	3.53
450	1.47842e+06	990073	3.603
451	1.47842e+06	990073	3.604
452	1.47842e+06	990073	3.604
453	1.47842e+06	990073	3.604
454	1.47842e+06	990073	3.605
455	1.47842e+06	990074	3.606
456	1.47842e+06	990074	3.607
457	1.47842e+06	990074	3.608
458	1.47842e+06	990074	3.609
459	1.47842e+06	990074	3.61
460	1.47842e+06	990074	3.684
461	1.48502e+06	994475	3.685
462	1.49162e+06	998875	3.686
463	1.49822e+06	1.00327e+06	3.687
464	1.50482e+06	1.00768e+06	3.687
465	1.51142e+06	1.01208e+06	3.688
466	1.51802e+06	1.01648e+06	3.688
467	1.52462e+06	1.02088e+06	3.689
468	1.53122e+06	1.02528e+06	3.69
469	1.53782e+06	1.02967e+06	3.691
470	1.54442e+06	1.03407e+06	3.764
471	1.54442e+06	1.03407e+06	3.765
472	1.54442e+06	1.03407e+06	3.766
473	1.54442e+06	1.03407e+06	3.767
474	1.54442e+06	1.03408e+06	3.767
475	1.54442e+06	1.03408e+06	3.767
476	1.54442e+06	1.03408e+06	3.768
477	1.54442e+06	1.03408e+06	3.769
478	1.54442e+06	1.03408e+06	3.77
479	1.54442e+06	1.03408e+06	3.771
480	1.54442e+06	1.03408e+06	3.844
481	1.55102e+06	1.03848e+06	3.845
482	1.55762e+06	1.04288e+06	3.846
483	1.56422e+06	1.04728e+06	3.847
484	1.57082e+06	1.05168e+06	3.848
485	1.57742e+06	1.05608e+06	3.849
486	1.58402e+06	1.06048e+06	3.85
487	1.59062e+06	1.06488e+06	3.851
488	1.59722e+06	1.06928e+06	3.852
489	1.60382e+06	1.07368e+06	3.853
490	1.61042e+06	1.07808e+06	3.926
491	1.61042e+06	1.07808e+06	3.926
492	1.61042e+06	1.07808e+06	3.927
493	1.61042e+06	1.07808e+06	3.927
494	1.61042e+06	1.07808e+06	3.927
495	1.61042e+06	1.07808e+06	3.928
496	1.61042e+06	1.07808e+06	3.928
497	1.61042e+06	1.07808e+06	3.929
498	1.61042e+06	1.07808e+06	3.93
499	1.61042e+06	1.07808e+06	3.93
500	1.61042e+06	1.07808e+06	4.004
501	1.61702e+06	1.08248e+06	4.005
502	1.62362e+06	1.08688e+06	4.006
503	1.63022e+06	1.09128e+06	4.007
504	1.63682e+06	1.09568e+06	4.008
505	1.64232e+06	1.10008e+06	4.009
506	1.64782e+06	1.10448e+06	4.01
507	1.65442e+06	1.10888e+06	4.011
508	1.66102e+06	1.11328e+06	4.011
509	1.66762e+06	1.11768e+06	4.012
510	1.67422e+06	1.12208e+06	4.085
511	1.67422e+06	1.12208e+06	4.086
512	1.67422e+06	1.12208e+06	4.086
513	1.67422e+06	1.12208e+06	4.087
514	1.67422e+06	1.12208e+06	4.088
515	1.67422e+06	1.12208e+06	4.089
516	1.67422e+06	1.12208e+06	4.09
517	1.67422e+06	1.12208e+06	4.091
518	1.67422e+06	1.12208e+06	4.092
519	1.67422e+06	1.12208e+06	4.092
520	1.67422e+06	1.12208e+06	4.165
521	1.68082e+06	1.12648e+06	4.166
522	1.68632e+06	1.13088e+06	4.167
523	1.69292e+06	1.13528e+06	4.167
524	1.69952e+06	1.13968e+06	4.168
525	1.70612e+06	1.14408e+06	4.169
526	1.71162e+06	1.14849e+06	4.17
527	1.71821e+06	1.15398e+06	4.171
528	1.72481e+06	1.15838e+06	4.172
529	1.73031e+06	1.16278e+06	4.173
530	1.73691e+06	1.16718e+06	4.246
531	1.73691e+06	1.16718e+06	4.247
532	1.73691e+06	1.16718e+06	4.248
533	1.73691e+06	1.16718e+06	4.249
534	1.73691e+06	1.16718e+06	4.25
535	1.73691e+06	1.16718e+06	4.251
536	1.73691e+06	1.16718e+06	4.252
537	1.73691e+06	1.16718e+06	4.253
538	1.73691e+06	1.16718e+06	4.254
539	1.73691e+06	1.16718e+06	4.255
540	1.73691e+06	1.16718e+06	4.328
541	1.74351e+06	1.17158e+06	4.328
542	1.75011e+06	1.17598e+06	4.329
543	1.75671e+06	1.18038e+06	4.329
544	1.76331e+06	1.18478e+06	4.33
545	1.76991e+06	1.18918e+06	4.331
546	1.77651e+06	1.19358e+06	4.332
547	1.78311e+06	1.19798e+06	4.332
548	1.78971e+06	1.20238e+06	4.333
549	1.79631e+06	1.20678e+06	4.333
550	1.80291e+06	1.21118e+06	4.405
551	1.80291e+06	1.21118e+06	4.405
552	1.80291e+06	1.21118e+06	4.405
553	1.80291e+06	1.21118e+06	4.405
554	1.80291e+06	1.21118e+06	4.406
555	1.80291e+06	1.21118e+06	4.407
556	1.80291e+06	1.21118e+06	4.407
557	1.80291e+06	1.21119e+06	4.408
558	1.80291e+06	1.21119e+06	4.408
559	1.80291e+06	1.21119e+06	4.409
560	1.80291e+06	1.21119e+06	4.482
561	1.80951e+06	1.21559e+06	4.483
562	1.81611e+06	1.21999e+06	4.483
563	1.82271e+06	1.22439e+06	4.483
564	1.82821e+06	1.22879e+06	4.484
565	1.83481e+06	1.23428e+06	4.485
566	1.84141e+06	1.23868e+06	4.485
567	1.84691e+06	1.24308e+06	4.486
568	1.85241e+06	1.24639e+06	4.487
569	1.85901e+06	1.25079e+06	4.488
570	1.86561e+06	1.25519e+06	4.561
571	1.86561e+06	1.25519e+06	4.562
572	1.86561e+06	1.25519e+06	4.563
573	1.86561e+06	1.25519e+06	4.564
574	1.86561e+06	1.25519e+06	4.564
575	1.86561e+06	1.25519e+06	4.565
576	1.86561e+06	1.25519e+06	4.566
577	1.86561e+06	1.25519e+06	4.566
578	1.86561e+06	1.25519e+06	4.567
579	1.86561e+06	1.25519e+06	4.568
580	1.86561e+06	1.25519e+06	4.641
581	1.87221e+06	1.25959e+06	4.642
582	1.87881e+06	1.26399e+06	4.643
583	1.88541e+06	1.26839e+06	4.644
584	1.89091e+06	1.27279e+06	4.645
585	1.89751e+06	1.27719e+06	4.646
586	1.90411e+06	1.28159e+06	4.647
587	1.90961e+06	1.28599e+06	4.648
588	1.91181e+06	1.28709e+06	4.648
589	1.91841e+06	1.29149e+06	4.649
590	1.92501e+06	1.29589e+06	4.721
591	1.92501e+06	1.29589e+06	4.722
592	1.92501e+06	1.29589e+06	4.723
593	1.92501e+06	1.29589e+06	4.724
594	1.92501e+06	1.29589e+06	4.724
595	1.92501e+06	1.29589e+06	4.725
596	1.92501e+06	1.29589e+06	4.726
597	1.92501e+06	1.29589e+06	4.727
598	1.92501e+06	1.29589e+06	4.728
599	1.92501e+06	1.29589e+06	4.729
600	1.92501e+06	1.29589e+06	4.802
601	1.93161e+06	1.30029e+06	4.802
602	1.93821e+06	1.30469e+06	4.803
603	1.94481e+06	1.30909e+06	4.804
604	1.95141e+06	1.31349e+06	4.805
605	1.95801e+06	1.31789e+06	4.806
606	1.96461e+06	1.32229e+06	4.807
607	1.97121e+06	1.32669e+06	4.807
608	1.97781e+06	1.33109e+06	4.808
609	1.98441e+06	1.33549e+06	4.809
610	1.99101e+06	1.33989e+06	4.882
